Activity	HOR RANGE	VER RANGE	HOR MEAN	VER MEAN	HOR STD DEV	VER STD DEV	
CLASSIFIED/STATIONARY	0.07560191	0.08785248	0.029789144	10.119908	0.014949589	0.023215193	
CLASSIFIED/STATIONARY	0.12283041	0.14611626	0.035885513	10.122413	0.02307224	0.03006996	
CLASSIFIED/STATIONARY	0.18042986	0.1770277	0.037901033	10.120125	0.02721567	0.02342478	
CLASSIFIED/STATIONARY	0.12894902	0.10862923	0.037935853	10.126867	0.024885846	0.023571901	
CLASSIFIED/STATIONARY	0.117815524	0.08938599	0.043181818	10.115878	0.024807274	0.021910176	
CLASSIFIED/STATIONARY	0.17501846	0.15975285	0.050982974	10.124033	0.03071154	0.03214415	
CLASSIFIED/STATIONARY	0.13129692	0.16593361	0.054105923	10.100359	0.028329415	0.031229012	
CLASSIFIED/STATIONARY	7.849714	7.685711	3.994306	9.159185	1.4144369	1.0885458	
CLASSIFIED/STATIONARY	0.17693537	0.20413208	0.05021732	10.005316	0.03267928	0.045929592	
CLASSIFIED/STATIONARY	0.295475	0.29326057	0.10501256	10.0008135	0.052924864	0.05132066	
CLASSIFIED/STATIONARY	0.18298408	0.21097851	0.044475704	10.02176	0.032188937	0.042519037	
CLASSIFIED/STATIONARY	0.32207024	0.3897457	0.05454643	10.024992	0.046731167	0.05200883	
CLASSIFIED/STATIONARY	0.40140185	0.611022	0.09666504	10.013413	0.06229097	0.08686913	
CLASSIFIED/STATIONARY	0.3099617	0.29624653	0.098860614	9.996286	0.052214492	0.058246344	
CLASSIFIED/STATIONARY	7.5193577	15.205127	7.5206413	4.5920773	1.668091	3.790275	
CLASSIFIED/STATIONARY	7.5193577	15.205127	7.5206413	4.5920773	1.668091	3.790275	
CLASSIFIED/STATIONARY	1.3419813	1.1056433	0.5176026	9.7755375	0.33760193	0.14031757	
CLASSIFIED/STATIONARY	0.17864814	0.19351482	0.109570965	9.812716	0.036659334	0.045101304	
CLASSIFIED/STATIONARY	0.1518547	0.17573643	0.08497983	9.813884	0.037267346	0.035290778	
CLASSIFIED/STATIONARY	0.17925113	0.20823765	0.07760512	9.824032	0.040360898	0.04225467	
CLASSIFIED/STATIONARY	0.31501833	0.2007637	0.12742093	9.826126	0.07723682	0.052458998	
CLASSIFIED/STATIONARY	0.20753518	0.1866293	0.0514531	9.838665	0.042941727	0.044665724	
CLASSIFIED/STATIONARY	0.31699184	0.30276012	0.12216971	9.794126	0.05499316	0.058506202	
CLASSIFIED/STATIONARY	1.0364214	0.4465294	0.3670865	9.995844	0.23641717	0.062187847	
CLASSIFIED/STATIONARY	2.0641525	0.7316265	0.27697742	9.983813	0.32087135	0.11113897	
CLASSIFIED/STATIONARY	0.22112036	0.17346478	0.06462148	9.957203	0.045527406	0.04030909	
CLASSIFIED/STATIONARY	0.15686333	0.22451591	0.0635272	9.975937	0.037710097	0.04752409	
CLASSIFIED/STATIONARY	0.15213758	0.18795681	0.06390428	9.982395	0.030047726	0.03592436	
CLASSIFIED/STATIONARY	0.23518126	0.18217754	0.04739303	9.99258	0.042120308	0.033797387	
CLASSIFIED/STATIONARY	0.1636818	0.10076141	0.024114333	9.972202	0.026060663	0.018914202	
CLASSIFIED/STATIONARY	2.62917	1.8703651	1.4746127	9.965483	0.5470352	0.2247334	
CLASSIFIED/STATIONARY	0.2885391	0.26112747	0.12310726	10.150022	0.061848417	0.06372725	
CLASSIFIED/STATIONARY	0.33138305	0.33759594	0.09734553	10.156087	0.054661397	0.066087745	
