"TIME","X","Y","Z","AZIMUTH","PITCH","ROLL"
433,0.61291564,6.238119,7.8861814,-0.82723475,-0.667776,-0.077564284
474,1.1441092,6.5513873,8.62168,-0.45118153,-0.6455907,-0.1319306
513,1.7297841,6.3198414,7.164303,0.30600014,-0.70882595,-0.2369107
555,1.56634,6.851035,7.164303,0.121343754,-0.7513958,-0.2152443
595,1.920469,7.7363577,6.0474343,2.5222955,-0.8838832,-0.3074949
634,2.7240696,9.112013,5.706926,2.3014004,-0.9641091,-0.44534522
674,3.3778462,9.302697,7.5865335,1.4840789,-0.84202796,-0.41889045
713,2.1792557,9.847511,7.014479,2.92489,-0.92992765,-0.3012256
755,2.6423476,9.234595,6.701211,2.1141527,-0.90834546,-0.3755907
795,1.0351465,8.921328,6.851035,-1.7972083,-0.910453,-0.14995915
834,-0.8036005,10.038197,6.1700177,-1.8518689,-1.0159123,0.12951379
874,-2.7513103,9.656827,4.7535014,-1.5403959,-1.0536723,0.5246828
1248,2.6014864,7.668256,-0.42223078,0.86577404,-1.239751,-1.731697
1289,2.070293,10.760075,1.920469,1.88681,-1.3141434,-0.82292324
1328,3.718355,13.375181,5.9793324,1.8165991,-1.0862225,-0.55634385
1368,1.1441092,13.402422,4.903325,2.9626622,-1.2114286,-0.22923192
1408,0.27240697,11.795221,3.5276701,-2.953975,-1.2793703,-0.07706714
1449,-1.1849703,8.662541,3.718355,-2.0126204,-1.1475142,0.3085063
1488,-0.38136974,8.240311,1.0351465,-2.4537938,-1.4377143,0.3529904
1528,0.84446156,6.5513873,3.2961242,3.0373864,-1.0917747,-0.25080383
1569,1.3075534,6.0882955,3.336985,2.286337,-1.0387471,-0.37344936
1609,0.9942854,10.95076,-2.070293,0.539425,-1.3640653,-2.6938589
1648,1.9885708,14.056199,0.3405087,1.7684668,-1.4282377,-1.4012082
1688,-0.95342433,16.126492,-1.0760075,-0.43073207,-1.481883,2.416524
1728,-0.42223078,4.903325,1.6889231,-2.188561,-1.229634,0.24497867
1769,-0.95342433,-0.8036005,2.7921712,-0.29157558,0.265914,0.3290497
1809,1.2666923,1.3756552,0.10896278,0.8514993,-0.82477474,-1.4849861
1848,5.012288,9.615966,0.313268,1.1048353,-1.089497,-1.5083776
1888,2.1792557,15.745122,-3.214402,0.57637876,-1.3289756,-2.545808
1927,0.95342433,8.894087,-0.7218784,0.9258779,-1.4371396,-2.2188532
1967,0.27240697,10.147159,1.6889231,3.1410635,-1.403773,-0.15991312
2006,-0.27240697,11.495573,1.0351465,-2.6542883,-1.4779516,0.2573237
2045,0.95342433,5.2165933,0.92618364,2.1653693,-1.3212987,-0.7998899
2086,0.50395286,11.75436,-1.2666923,0.48145503,-1.455333,-2.7629416
2125,2.9147544,19.041246,1.1849703,1.8951768,-1.407034,-1.1846629
2165,1.1168685,9.234595,-0.5720546,1.1092303,-1.4357384,-2.0441525
2205,0.84446156,4.9850473,0.95342433,2.3207054,-1.3206571,-0.72486615
2248,0.95342433,8.730643,2.2201166,2.8060496,-1.3008065,-0.405632
2290,1.7978859,11.727119,-1.334794,0.9038794,-1.3821245,-2.2094312
2336,2.7649305,9.615966,-3.445948,0.54615545,-1.1401097,-2.4654074
2377,2.152015,8.812365,1.334794,1.827345,-1.2909716,-1.0156178
2417,1.3756552,8.662541,2.9147544,2.4456933,-1.2145963,-0.44096717
2456,0.6946377,8.962189,2.070293,2.8432245,-1.3317944,-0.32372293
2495,0.84446156,9.765789,0.23154591,1.8517286,-1.4813731,-1.30318
2537,1.334794,9.466142,-1.0351465,0.86411244,-1.3942146,-2.2304251
2578,0.88532263,8.689782,0.95342433,2.3852105,-1.422175,-0.74837804
2618,0.61291564,8.853226,1.7297841,2.8691711,-1.3664037,-0.34052768
2657,1.2666923,9.234595,1.6889231,2.4134314,-1.3460451,-0.6435011
2696,1.6889231,8.894087,1.1168685,1.9811333,-1.346953,-0.98652506
2737,0.95342433,8.853226,0.5720546,2.0969512,-1.4458606,-1.0303768
2780,-0.08172209,9.997335,0.9942854,-2.8713038,-1.4713359,0.082007445
2820,0.14982383,9.847511,1.56634,-3.064463,-1.4123503,-0.09536205
2859,0.46309182,8.894087,1.4573772,2.936213,-1.4005286,-0.307667
2899,0.10896278,8.771504,0.92618364,-3.0968826,-1.4648759,-0.11710875
2938,-0.14982383,9.152874,1.1441092,-2.7904396,-1.4453913,0.13021143
2977,0.08172209,9.343558,1.0351465,-3.0575435,-1.4601196,-0.07878396
3016,0.313268,10.228881,0.3405087,2.5031364,-1.5255941,-0.7437556
3056,0.8036005,11.304889,-0.5720546,0.98617375,-1.483761,-2.1894407
3096,1.0351465,10.228881,-0.5720546,1.0540004,-1.4556843,-2.0756576
3137,1.4573772,8.390134,0.08172209,1.4912982,-1.3985462,-1.5147802
3176,1.6889231,7.43671,0.42223078,1.5741503,-1.3408418,-1.3258177
3219,1.3075534,7.7363577,0.040861044,1.4587073,-1.4032842,-1.5395565
3261,1.7978859,8.921328,-1.525479,0.73485214,-1.3124102,-2.2744102
3300,2.2201166,9.724928,-0.6946377,1.082329,-1.3360032,-1.8740305
3340,1.6889231,11.073342,0.6946377,1.8509762,-1.4073496,-1.1805949
3381,1.334794,12.571581,0.3405087,1.8046043,-1.4616559,-1.3210216
3421,1.7978859,12.340035,0.95342433,1.9891394,-1.4073535,-1.0832012
3462,1.1849703,12.299174,2.7921712,2.7837272,-1.3290023,-0.4013541
3502,1.2258313,8.894087,3.1054392,2.7184036,-1.2116961,-0.37596095
