"TIME","X","Y","Z","AZIMUTH","PITCH","ROLL"
207,-1.334794,2.6423476,9.697687,3.0676956,-0.26364383,0.136781
229,-1.2258313,2.2609777,9.697687,3.0460792,-0.22730793,0.12573764
250,-1.0760075,1.9477097,9.80665,3.0199993,-0.19491959,0.109285064
271,-1.1849703,2.152015,9.956474,3.0127933,-0.21142013,0.11845785
290,-1.4165162,2.3426998,9.888372,3.0356443,-0.23035756,0.14228271
309,-1.525479,2.3699405,9.765789,3.0533805,-0.2353277,0.1549542
328,-1.4573772,2.4516625,9.575105,3.0679789,-0.2479226,0.15104558
350,-1.4982382,2.4925237,9.615966,3.0750873,-0.2507272,0.15456462
370,-1.56634,2.4516625,9.575105,3.075878,-0.24750587,0.16214845
389,-1.56634,2.4516625,9.466142,3.0718281,-0.2501657,0.16398181
408,-1.7570249,2.3699405,9.534244,3.0743294,-0.23975313,0.18224102
448,-1.920469,2.4108016,9.656827,3.0969257,-0.24012803,0.19631036
467,-2.0294318,2.6014864,9.847511,3.10404,-0.25318718,0.20324033
487,-1.920469,2.6832085,9.765789,3.1036546,-0.26333195,0.19417496
507,-1.7570249,2.6423476,9.575105,3.1063507,-0.26504257,0.18148033
530,-1.56634,2.4925237,9.343558,3.0896842,-0.25726274,0.16609408
551,-1.4165162,2.2201166,9.193735,3.0796385,-0.23428254,0.15287197
570,-1.4165162,2.070293,9.302697,3.0690398,-0.21656138,0.15110867
591,-1.334794,2.070293,9.343558,3.058564,-0.21592778,0.14189705
610,-1.3756552,2.152015,9.384419,3.0613933,-0.22311552,0.1455526
629,-1.2666923,2.070293,9.656827,3.0498774,-0.20944814,0.13042603
648,-1.2258313,1.879608,9.915613,3.0497308,-0.18595481,0.12300227
669,-1.4573772,2.070293,10.147159,3.0652475,-0.19927421,0.14264865
690,-1.607201,2.5606253,10.038197,3.0872402,-0.24674745,0.1587611
709,-1.6480621,2.8330324,9.765789,3.083748,-0.2786127,0.1671835
728,-1.920469,2.8330324,9.765789,3.0982258,-0.27731162,0.19417496
749,-2.0294318,2.9147544,9.888372,3.0958655,-0.28110158,0.2024233
770,-1.9885708,2.8738933,9.656827,3.083,-0.28362778,0.203085
789,-2.1383946,2.8738933,9.384419,3.0947,-0.29016015,0.22404112
808,-2.1792557,3.1463003,9.384419,3.0907545,-0.31565896,0.22817643
829,-2.2201166,3.405087,9.302697,3.0936346,-0.34203982,0.23427095
850,-2.3018389,3.5957718,9.152874,3.1064975,-0.36401495,0.24637872
869,-2.4108016,3.759216,9.384419,3.1105373,-0.37010396,0.2514566
888,-2.3426998,3.759216,9.425281,3.1075714,-0.36930752,0.2436181
908,-2.3018389,3.7864566,9.112013,3.1048415,-0.3829946,0.24743912
930,-2.3018389,3.759216,8.771504,3.1075873,-0.3929738,0.2566357
948,-2.3426998,3.718355,8.730643,3.1132872,-0.39024872,0.26215532
