"TIME","X","Y","Z","AZIMUTH","PITCH","ROLL"
378,0.95342433,1.2258313,9.847511,-0.068664946,-0.1232737,-0.09651797
424,0.6946377,1.2666923,9.466142,-0.08230128,-0.13267021,-0.07325
466,1.1168685,1.6480621,8.771504,-0.009421938,-0.18426903,-0.12664768
508,0.88532263,1.9885708,9.656827,-0.06465964,-0.20225987,-0.09142286
552,0.92618364,2.152015,9.384419,-0.050142784,-0.22436683,-0.09837518
595,1.1849703,2.7240696,9.084772,0.0036572772,-0.2890068,-0.12970254
637,1.1168685,2.6832085,9.152874,-0.0039646975,-0.2831762,-0.12142352
680,0.9942854,2.9556155,9.575105,-0.033505384,-0.29789034,-0.10346984
726,1.3075534,3.214402,8.921328,0.053256493,-0.34245074,-0.14552875
769,1.2666923,3.486809,8.812365,0.055862725,-0.3732849,-0.14276247
812,1.2258313,3.9090397,9.193735,0.042185266,-0.3988645,-0.13255152
854,1.1168685,3.8681788,8.62168,0.0399432,-0.4186376,-0.12882444
894,1.2666923,3.990762,8.281172,0.10790381,-0.4445634,-0.15178405
934,1.3075534,4.3312707,8.308413,0.13024817,-0.47555426,-0.15609673
978,1.4982382,4.399372,8.117727,0.21320711,-0.48965514,-0.18250993
1021,1.2666923,4.5628166,8.308413,0.13299285,-0.49738118,-0.15129396
1064,1.2666923,4.7943625,8.308413,0.15229468,-0.5184138,-0.15129398
1107,1.3075534,4.7126403,8.281172,0.1857025,-0.51209706,-0.15660188
1149,1.2666923,4.8216033,8.19945,0.20539896,-0.5264409,-0.15327339
1191,1.0760075,4.7943625,8.240311,0.119638376,-0.5232764,-0.12984386
1231,0.92618364,4.903325,8.117727,0.06675085,-0.5405175,-0.11360271
1279,0.6537767,5.012288,8.008764,-0.068066314,-0.5577183,-0.08145205
1321,0.42223078,4.7126403,8.076866,-0.16160731,-0.52758557,-0.052229017
1362,0.50395286,4.862464,8.076866,-0.11546082,-0.54104805,-0.062313825
1402,0.50395286,4.903325,8.308413,-0.07854818,-0.53235227,-0.06058151
1443,0.19068487,4.7535014,7.8861814,-0.23077297,-0.5423197,-0.02417491
1483,0.040861044,4.5628166,7.9679036,-0.24503414,-0.52006036,-0.00512816
1523,0.313268,4.671779,8.281172,-0.11617087,-0.513332,-0.037810918
1563,0.08172209,4.8216033,8.158588,-0.20031993,-0.5337425,-0.010016359
1603,-0.61291564,3.9499009,6.5513873,-0.47228175,-0.5406321,0.093283564
1644,-0.6537767,3.9499009,7.8180795,-0.34191063,-0.46641913,0.08342959
1688,-0.0,4.372132,8.689782,-0.15456955,-0.46615228,0.0
1730,-0.61291564,3.0645783,10.419566,-0.20349278,-0.28558424,0.058755822
1772,-0.10896278,1.9885708,9.697687,-0.12409013,-0.20224011,0.011235483
1816,1.3756552,1.9477097,9.656827,0.05577369,-0.1970846,-0.14150211
1855,1.607201,1.2666923,10.419566,0.04871404,-0.11957454,-0.15304221
1923,0.42223078,0.040861044,9.466142,-0.050855264,-0.004312232,-0.04457477
1961,-0.42223078,1.2258313,11.073342,-0.12619701,-0.110172786,0.03811192
2001,2.5606253,-1.0351465,6.66035,0.16193394,0.14406253,-0.3670368
2051,-1.334794,-3.336985,8.308413,-0.18196334,0.37753248,0.15929455
2098,0.88532263,-4.7126403,7.082581,-0.037483115,0.5835447,-0.124354996
2139,1.9885708,-7.6546354,6.4424243,0.035535548,0.8486802,-0.2993901
2183,4.2086873,-9.997335,6.973618,0.13767625,0.88713336,-0.54300046
2226,6.3198414,-11.604536,7.7363577,0.19065385,0.8600462,-0.68496203
2272,7.164303,-12.830367,6.5922484,0.24869256,0.9216834,-0.82695836
2316,8.499097,-11.604536,5.053149,0.29227516,0.8651047,-1.0343928
2356,6.742072,-10.56939,4.372132,0.2913303,0.9207535,-0.995487
2408,6.2108784,-6.3607025,1.0760075,0.3002315,0.78992325,-1.3992534
2453,3.636633,-8.812365,3.5957718,0.28053582,1.0449585,-0.7910478
2519,5.053149,-2.3018389,-1.1849703,0.18286379,0.41743097,-1.8011357
2562,2.3426998,-0.9942854,-2.2201166,0.10354058,0.2988355,-2.3293352
2603,3.8681788,-4.5628166,-2.4516625,0.1819521,0.78355384,-2.1357007
2644,4.399372,-6.2108784,-0.84446156,0.23919727,0.945941,-1.7604401
2686,6.0201936,-9.615966,1.879608,0.21809879,0.99030775,-1.2681692
2728,3.0645783,-8.471856,6.0201936,0.049700964,0.8976527,-0.47086123
2783,7.9270425,-11.073342,3.405087,0.18593152,0.908919,-1.1650753
2827,3.568531,-11.032481,0.95342433,0.31285968,1.2477242,-1.3097188
2867,2.6014864,-7.04172,0.040861044,0.3141698,1.2168697,-1.5550908
2908,1.879608,-2.4925237,-0.0,0.1706839,0.9246775,-1.5707964
2951,4.671779,-2.8330324,-0.50395286,0.122370295,0.54256105,-1.6782526
2994,6.973618,-5.053149,-0.29964766,0.11243544,0.6266139,-1.6137387
3035,1.6889231,-3.3642259,-3.405087,0.09539309,0.724525,-2.6811502
3076,-0.7218784,-2.3699405,2.982856,-0.042191207,0.657576,0.23744382
3120,-0.95342433,-2.4516625,1.9885708,-0.046585273,0.83824664,0.44707456
3162,0.23154591,-15.826844,-11.495573,0.0015274091,0.942518,-3.1214533
3201,-2.4925237,-10.528529,-1.4982382,-0.06838539,1.3012987,2.112019
3242,-2.3699405,-2.5333846,4.2904096,-0.005432409,0.47704768,0.50466937
3285,-0.84446156,-10.841797,-2.6832085,0.03564334,1.3169389,2.836686
3328,-0.8036005,-10.269742,-0.50395286,0.18203492,1.4786946,2.1309178
3371,0.10896278,-9.615966,-1.2258313,0.050392315,1.4435068,-3.0529368
3422,-0.19068487,-10.079058,-0.95342433,0.085907035,1.4746262,2.9441972
3462,0.040861044,-10.269742,-0.14982383,0.049234666,1.5556792,-2.8753407
3501,0.19068487,-9.656827,-0.7218784,-0.0013585348,1.4936326,-2.8833404
3541,-0.53119355,-9.425281,-0.42223078,0.08616609,1.4989271,2.2424026
