"TIME","X","Y","Z","AZIMUTH","PITCH","ROLL"
419,2.0294318,3.486809,8.430995,-0.06235632,-0.38230297,-0.23621698
459,0.313268,2.7649305,6.5513873,-0.42483613,-0.39894968,-0.047780655
499,1.2258313,1.920469,8.539958,-0.23959695,-0.21902785,-0.14256684
548,1.4165162,2.3018389,9.697687,-0.21840784,-0.23068617,-0.1450417
589,1.6480621,2.4516625,8.430995,-0.19830577,-0.278,-0.19304237
628,2.7649305,1.0351465,8.349273,-0.05089412,-0.117155775,-0.31979167
668,3.486809,-0.46309182,9.80665,-0.017165914,0.04446415,-0.3416155
710,-0.23154591,1.7570249,7.5456724,-0.35442472,-0.22867146,0.030676296
750,-1.1168685,-0.10896278,5.2165933,-0.36993915,0.020422012,0.210915
789,-0.08172209,-1.1168685,7.7772183,-0.1985293,0.14262477,0.010507494
833,0.50395286,-2.1111538,5.325556,-0.099180296,0.37589136,-0.094348215
876,-0.95342433,-3.9499009,8.771504,-0.18911287,0.42091772,0.108270586
915,-2.1792557,-5.6252036,10.460427,-0.22582589,0.48458847,0.20539539
954,-3.5957718,-9.997335,12.408136,-0.25770384,0.6586029,0.28206503
995,-6.510526,-10.378705,16.04477,-0.30007035,0.5399731,0.38547277
1035,-9.534244,-10.56939,12.4489975,-0.39532542,0.59309334,0.65357727
1074,-11.3321295,-9.697687,11.958665,-0.42719665,0.53201663,0.7585041
1113,-9.997335,-9.888372,8.471856,-0.5348083,0.6464372,0.86780703
1156,-8.430995,-10.800936,2.8738933,-0.80710894,0.88118464,1.2422761
1217,-8.853226,-5.366417,-3.445948,-0.07683354,0.51419026,1.9419845
1262,-7.246025,-0.14982383,-3.486809,-0.039244145,0.018629609,2.0192935
1305,-2.4108016,2.070293,0.27240697,-0.36876264,-0.70642227,1.4582793
1345,-2.7240696,-1.0760075,-1.9477097,0.03255913,0.31089637,2.1915185
1387,-3.9771416,-5.7477865,-1.2666923,-1.315552,0.9427083,1.8791318
1429,-3.445948,-4.944186,0.7218784,-1.1858231,0.95199656,1.3642963
1472,-8.008764,-9.043911,3.336985,-0.9170384,0.8061484,1.1760052
1511,-10.419566,-13.947236,3.214402,-1.0618638,0.90724456,1.2715627
1555,-10.269742,-9.847511,2.1111538,-0.8417109,0.7540794,1.3680506
1600,-8.076866,-7.504812,4.4810944,-0.74971384,0.682318,1.0642707
1673,-3.718355,-4.7943625,5.5162406,-0.6279461,0.6244782,0.5931133
1728,-1.3075534,-5.8158884,0.7218784,-1.5272496,1.3194169,1.0663551
1772,-2.7240696,-8.240311,4.944186,-0.7542712,0.97018015,0.5035832
1834,-5.325556,-7.3958488,4.944186,-0.77521366,0.79419845,0.8225164
1880,-4.7535014,-7.04172,4.862464,-0.7755923,0.8028632,0.7740672
1919,-4.7943625,-7.1234417,0.42223078,-1.1142325,0.97660357,1.4829547
1959,-4.862464,-5.47538,2.7921712,-0.7471705,0.7735117,1.0495411
1998,0.040861044,-3.0645783,-0.38136974,1.697236,1.446287,-3.034857
2041,-0.8036005,-3.0237172,-6.0474343,0.54388636,0.46015608,3.0094838
2085,1.3756552,-2.5333846,-2.6014864,0.6243657,0.7107715,-2.6551747
2136,-1.920469,-16.276316,-1.7297841,2.6922526,1.4133139,2.304003
2180,-0.040861044,-7.9679036,5.2165933,-0.6330167,0.9911095,0.007832739
2225,1.7978859,-5.175732,-0.0,0.2486056,1.2364678,-1.5707964
2284,-0.88532263,-10.378705,1.334794,-1.4982711,1.4176779,0.5856442
2331,-0.9125633,-9.193735,-0.0,-2.6513748,1.4718612,1.5707964
2373,-0.8036005,-10.691973,-0.38136974,3.1278613,1.4877934,2.0138988
2414,-0.23154591,-10.841797,0.23154591,-1.8590405,1.5406046,0.7853982
2458,0.6946377,-9.234595,-0.88532263,1.1710463,1.4495363,-2.4763033
2498,1.9477097,-10.106298,-0.5720546,0.5647818,1.3725713,-1.8564692
2540,1.4165162,-9.697687,-0.7218784,0.7423079,1.408301,-2.0421066
2580,0.23154591,-9.466142,0.10896278,0.013534561,1.5437719,-1.1309538
2619,-0.5720546,-10.337844,0.5720546,-1.7579818,1.4926988,0.7853982
2658,-0.8036005,-9.765789,0.84446156,-1.6617917,1.4519918,0.76060987
2698,-0.46309182,-9.384419,1.56634,-1.1273153,1.3984718,0.2874632
2737,-0.6946377,-9.765789,1.2258313,-1.3731694,1.4275095,0.515549
2778,-1.607201,-9.697687,1.1168685,-1.7069867,1.3716536,0.9634911
2818,-2.4108016,-10.106298,1.334794,-1.6765944,1.3046002,1.0651381
2859,-2.6832085,-10.841797,2.070293,-1.4505144,1.2678277,0.9136304
2900,-2.4925237,-11.304889,3.568531,-1.1117105,1.2032534,0.6097006
2940,-2.7921712,-12.489859,2.6423476,-1.3692815,1.2722088,0.8129601
2979,-0.95342433,-12.980191,-1.7570249,2.4290311,1.4179901,2.644421
3019,-3.5276701,-10.419566,0.10896278,-2.044846,1.2442024,1.5399181
3058,-2.4925237,-9.697687,2.6014864,-1.2123746,1.2150848,0.764011
3098,-0.84446156,-6.851035,1.7570249,-1.058505,1.2935787,0.44802386
3140,-1.920469,-5.8567495,2.4108016,-0.9752309,1.0863538,0.6726705
3185,-2.8738933,-6.4015636,2.7240696,-0.9588409,1.0168388,0.8121557
3224,-2.5606253,-6.1700177,3.9090397,-0.7623073,0.9225886,0.5799187
3268,-2.7513103,-6.891896,4.671779,-0.7280347,0.9042285,0.5322336
3313,-3.9090397,-7.6546354,6.238119,-0.6664405,0.80490303,0.559776
3377,-4.372132,-8.471856,7.3958488,-0.6329323,0.77838576,0.53389436
3397,-4.1814466,-8.771504,7.3549876,-0.6297264,0.80344325,0.5169496
3440,-1.920469,-7.082581,8.049625,-0.4995896,0.7078772,0.23420066
3480,-0.53119355,-13.715691,7.7772183,-0.55131054,1.0539727,0.06819531
3523,-1.4573772,-11.985906,-2.5606253,2.2796445,1.3297607,2.6241667
3570,2.070293,-3.336985,-1.3075534,0.5528419,0.9377531,-2.1341126
3615,1.0760075,-11.727119,-5.597963,1.1065512,1.1183383,-2.9516945
3655,-0.6946377,-12.14935,-4.2495484,1.6441147,1.2301912,2.9795642
3694,-1.7978859,-10.95076,1.5390993,-1.4457653,1.3579489,0.8627943
3734,-1.879608,-9.384419,1.7297841,-1.3303665,1.3050368,0.8268838
