Timestamp,X-accel,Y-accel,Z-accel,X-mag,Y-mag,Z-mag,X-orien,Y-orien,Z-orien
1297148185845,3.9090397,6.510526,1.6889231,27.9375,126.4375,68.75,123.0,-57.0,30.0
 1297148185895,4.2086873,8.049625,-0.84446156,25.4375,126.1875,69.3125,122.0,-118.0,27.0
 1297148185946,2.7649305,8.008764,0.8036005,24.625,126.1875,69.5625,136.0,-70.0,19.0
 1297148185995,3.486809,8.19945,1.2258313,25.6875,125.9375,68.75,136.0,-66.0,23.0
 1297148186052,3.486809,8.499097,0.7627395,26.1875,125.4375,69.0625,137.0,-69.0,20.0
 1297148186094,3.1054392,9.343558,0.23154591,27.1875,123.6875,69.0625,147.0,-72.0,18.0
 1297148186146,2.5606253,10.269742,1.334794,27.9375,122.375,69.0625,155.0,-74.0,14.0
 1297148186195,1.7978859,11.563675,1.3756552,28.1875,122.875,69.8125,172.0,-79.0,9.0
 1297148186244,7.082581,12.176591,3.214402,26.9375,123.6875,69.3125,131.0,-57.0,29.0
 1297148186344,3.636633,8.308413,3.7864566,27.1875,123.375,69.5625,92.0,-58.0,22.0
 1297148186345,3.636633,8.308413,3.7864566,27.1875,123.375,69.5625,92.0,-58.0,22.0
 1297148186397,1.3075534,8.19945,2.152015,27.6875,123.375,69.5625,162.0,-73.0,9.0
 1297148186445,1.4165162,7.8180795,1.9477097,27.9375,123.375,69.8125,175.0,-73.0,10.0
 1297148186495,2.7240696,6.5513873,2.070293,27.9375,122.875,70.0625,139.0,-62.0,22.0
 1297148186545,3.5957718,6.4424243,2.2609777,27.6875,121.875,69.5625,114.0,-57.0,28.0
 1297148186611,4.099725,6.973618,1.8387469,26.6875,122.125,70.0625,109.0,-59.0,29.0
 1297148186646,4.372132,8.117727,0.3405087,26.4375,121.875,70.5625,121.0,-62.0,28.0
 1297148186694,5.5571017,8.853226,1.3756552,25.1875,121.375,70.3125,116.0,-57.0,32.0
 1297148186745,5.5571017,10.269742,2.1111538,24.875,121.625,70.8125,112.0,-60.0,28.0
 1297148186794,5.706926,10.310603,2.070293,24.625,121.375,71.3125,112.0,-59.0,29.0
 1297148186844,3.405087,13.525005,3.3778462,23.875,122.125,71.0625,139.0,-70.0,14.0
 1297148186898,1.1849703,12.367276,3.5957718,24.125,123.125,70.8125,167.0,-73.0,5.0
 1297148186945,-0.95342433,7.7363577,3.9090397,23.625,124.9375,70.3125,251.0,-63.0,-6.0
 1297148186995,2.8330324,7.3549876,2.6423476,23.375,125.9375,70.8125,169.0,-62.0,20.0
 1297148187045,4.9850473,6.1291566,1.1168685,21.875,125.1875,70.8125,113.0,-50.0,39.0
 1297148187096,3.1463003,7.205164,0.6537767,19.375,124.6875,70.5625,116.0,-66.0,23.0
 1297148187174,2.7240696,7.273266,1.1168685,19.625,125.4375,70.3125,134.0,-68.0,20.0
 1297148187195,4.0180025,7.8861814,0.88532263,19.125,125.1875,70.3125,125.0,-62.0,27.0
 1297148187246,4.5628166,8.308413,0.92618364,18.625,124.6875,71.5625,118.0,-61.0,29.0
 1297148187295,4.9850473,8.62168,1.1849703,19.125,124.4375,71.8125,116.0,-59.0,30.0
 1297148187344,3.7864566,10.378705,2.7649305,18.875,124.1875,71.5625,121.0,-66.0,19.0
 1297148187397,7.9270425,11.304889,3.990762,18.875,122.875,72.0625,106.0,-52.0,33.0
 1297148187460,8.240311,9.915613,5.7477865,20.125,123.125,72.5625,75.0,-42.0,35.0
 1297148187495,4.0588636,9.275456,4.0588636,19.875,121.875,73.625,89.0,-58.0,22.0
 1297148187545,2.7240696,8.240311,3.9499009,20.125,121.375,73.375,107.0,-60.0,17.0
 1297148187594,2.5606253,7.5865335,3.336985,22.625,121.375,73.875,117.0,-61.0,17.0
 1297148187644,2.9556155,7.0553403,2.6014864,23.875,121.375,73.875,117.0,-61.0,21.0
 1297148187694,3.3778462,6.3198414,2.9556155,26.1875,120.875,75.125,98.0,-54.0,27.0
 1297148187745,3.568531,6.2789803,2.9556155,26.1875,120.875,75.125,98.0,-54.0,27.0
 1297148187795,3.6774938,7.3549876,1.9477097,26.1875,121.125,74.125,112.0,-60.0,26.0
 1297148187845,4.944186,8.308413,1.0760075,25.1875,121.375,74.125,113.0,-59.0,31.0
 1297148187894,5.284695,9.343558,1.4982382,24.375,121.625,74.625,114.0,-60.0,29.0
 1297148187945,5.2165933,10.61025,3.1054392,23.875,121.125,74.875,115.0,-60.0,25.0
 1297148188029,4.140586,12.4489975,2.6832085,23.375,122.125,73.625,128.0,-68.0,18.0
 1297148188045,2.7240696,12.789507,2.7240696,23.875,123.125,73.625,167.0,-76.0,6.0
 1297148188095,-0.7627395,8.308413,2.3018389,23.375,123.6875,74.375,207.0,-74.0,-5.0
 1297148188144,0.27240697,7.3549876,3.5957718,23.875,125.1875,74.875,230.0,-64.0,2.0
 1297148188196,2.3699405,7.0553403,2.9556155,22.875,125.9375,74.875,163.0,-62.0,17.0
 1297148188244,4.440233,6.891896,-0.040861044,20.375,124.9375,75.375,119.0,-123.0,33.0
 1297148188305,3.405087,7.8861814,0.50395286,19.125,124.9375,75.125,125.0,-66.0,23.0
 1297148188345,2.8738933,7.8589406,1.3075534,18.875,124.6875,74.625,138.0,-68.0,20.0
 1297148188395,4.2904096,8.308413,1.1441092,18.375,123.9375,74.625,125.0,-62.0,27.0
 1297148188446,4.399372,8.430995,1.1168685,18.875,123.6875,74.125,123.0,-62.0,27.0
 1297148188495,4.440233,8.921328,2.070293,17.125,123.125,73.625,117.0,-61.0,26.0
 1297148188545,3.2961242,10.528529,2.7649305,17.625,123.375,73.625,127.0,-68.0,17.0
 1297148188594,5.597963,12.340035,3.0645783,17.375,122.625,73.625,107.0,-52.0,30.0
 1297148188645,6.66035,8.921328,5.325556,17.375,120.875,74.625,76.0,-46.0,33.0
 1297148188695,3.5276701,9.152874,3.2961242,17.375,120.625,75.125,102.0,-62.0,20.0
 1297148188746,1.4982382,7.164303,3.568531,20.375,120.625,75.625,141.0,-62.0,11.0
 1297148188797,1.7978859,7.3549876,4.3312707,22.125,120.875,75.875,125.0,-57.0,12.0
 1297148188868,3.0645783,6.932757,2.982856,23.875,120.375,74.625,114.0,-58.0,22.0
 1297148188896,3.568531,6.5513873,2.7240696,25.1875,120.375,74.625,107.0,-56.0,27.0
 1297148188945,4.0180025,7.082581,2.0294318,23.625,120.375,75.125,106.0,-58.0,29.0
 1297148188996,4.8216033,8.008764,0.8036005,21.875,120.875,74.875,112.0,-59.0,31.0
 1297148189046,5.09401,8.580819,1.2666923,21.625,121.125,74.625,112.0,-59.0,30.0
 1297148189095,5.175732,9.724928,2.4108016,20.375,121.625,74.125,112.0,-60.0,27.0
 1297148189151,5.366417,10.228881,2.6832085,20.125,121.875,73.875,112.0,-59.0,28.0
 1297148189195,4.440233,13.756551,3.445948,22.625,122.625,73.625,129.0,-68.0,17.0
 1297148189245,-0.040861044,10.038197,2.4108016,21.875,123.375,72.8125,180.0,-76.0,0.0
 1297148189295,-0.29964766,7.5865335,3.445948,21.625,124.9375,73.625,228.0,-65.0,-2.0
 1297148189345,0.84446156,7.5456724,4.3312707,21.875,125.4375,73.875,249.0,-60.0,6.0
 1297148189432,3.990762,7.504812,0.040861044,19.875,125.1875,74.125,132.0,-62.0,28.0
 1297148189444,3.990762,7.7363577,-0.46309182,19.625,124.9375,73.625,131.0,-117.0,27.0
 1297148189494,2.2609777,7.1234417,1.8387469,18.625,124.1875,72.5625,132.0,-68.0,17.0
 1297148189545,3.2961242,8.471856,0.8036005,17.875,124.6875,72.0625,134.0,-68.0,21.0
 1297148189595,3.7864566,8.921328,0.9942854,17.375,123.9375,72.5625,133.0,-66.0,23.0
 1297148189644,4.440233,8.281172,0.9942854,16.625,123.6875,72.3125,121.0,-61.0,28.0
 1297148189722,4.140586,9.112013,2.2609777,16.375,123.125,71.3125,124.0,-67.0,18.0
 1297148189745,4.399372,11.686258,1.1849703,16.375,123.9375,71.0625,134.0,-69.0,21.0
 1297148189795,8.19945,10.923519,5.5571017,16.625,124.1875,71.0625,97.0,-48.0,34.0
 1297148189845,5.053149,8.894087,3.636633,16.625,124.4375,70.3125,83.0,-55.0,28.0
