Timestamp,X-accel,Y-accel,Z-accel,X-mag,Y-mag,Z-mag,X-orien,Y-orien,Z-orien
1297147251143,6.0474343,10.991621,1.3075534,36.25,124.9375,13.1875,67.0,-61.0,29.0
 1297147251195,2.4108016,9.425281,1.3756552,39.25,126.9375,15.0,245.0,-74.0,14.0
 1297147251242,2.1111538,7.8180795,-1.1168685,39.75,128.25,15.5,182.0,-107.0,15.0
 1297147251292,3.636633,4.099725,0.5720546,37.5,130.8125,16.0,104.0,-48.0,41.0
 1297147251372,4.372132,3.0237172,0.10896278,35.25,133.3125,17.25,59.0,-139.0,49.0
 1297147251392,3.445948,2.9556155,-0.14982383,33.6875,133.3125,16.5,62.0,-62.0,27.0
 1297147251443,0.3405087,11.917805,10.310603,32.4375,131.3125,13.9375,355.0,-49.0,1.0
 1297147251492,-1.6480621,19.763124,12.14935,31.9375,129.25,13.4375,336.0,-58.0,-4.0
 1297147251543,7.3549876,3.7864566,3.6774938,30.1875,127.75,13.1875,0.0,-25.0,54.0
 1297147251592,9.915613,8.689782,-2.3699405,28.6875,129.0,13.6875,41.0,-140.0,48.0
 1297147251643,8.812365,12.067628,-2.8738933,29.6875,129.0,13.4375,92.0,-120.0,26.0
 1297147251693,4.1814466,7.6273947,-3.173541,32.9375,126.1875,11.4375,125.0,-123.0,24.0
 1297147251742,1.7570249,10.501288,-0.3405087,34.1875,124.1875,10.375,173.0,-100.0,9.0
 1297147251794,1.607201,8.771504,1.6480621,34.1875,120.375,10.375,288.0,-75.0,10.0
 1297147251842,3.5957718,7.668256,-1.1168685,34.1875,119.8125,11.1875,165.0,-116.0,25.0
 1297147251919,2.4516625,8.499097,-0.08172209,34.4375,119.3125,11.6875,143.0,-106.0,16.0
 1297147251942,1.1849703,9.00305,0.50395286,34.4375,118.3125,11.6875,195.0,-82.0,7.0
 1297147251991,2.6014864,9.152874,-0.42223078,35.5,115.5,10.6875,184.0,-106.0,16.0
 1297147252042,3.8681788,9.466142,1.3075534,35.25,114.25,10.375,99.0,-67.0,22.0
 1297147252093,3.759216,10.528529,1.3756552,36.0,112.4375,10.9375,324.0,-78.0,11.0
 1297147252144,-0.84446156,13.756551,0.88532263,35.75,111.1875,10.6875,275.0,-85.0,-4.0
 1297147252214,-0.6537767,13.593107,2.070293,35.5,111.1875,9.625,285.0,-77.0,2.0
 1297147252242,2.4516625,12.789507,3.486809,36.0,113.25,8.625,319.0,-68.0,16.0
 1297147252292,8.812365,11.604536,-1.1441092,36.25,118.3125,9.375,51.0,-127.0,37.0
 1297147252343,5.47538,8.662541,-0.10896278,39.25,123.125,10.9375,69.0,-122.0,32.0
 1297147252393,-0.040861044,9.915613,0.7218784,42.25,125.6875,12.4375,290.0,-86.0,0.0
 1297147252473,2.7921712,6.1291566,-0.27240697,40.5,129.75,12.4375,166.0,-115.0,24.0
 1297147252492,3.568531,4.903325,-0.08172209,39.75,130.25,12.4375,119.0,-126.0,36.0
 1297147252542,4.099725,3.8273177,0.50395286,38.5,132.5625,12.6875,55.0,-48.0,41.0
 1297147252592,2.4516625,3.8273177,0.19068487,36.25,132.8125,12.6875,62.0,-57.0,33.0
 1297147252642,2.8330324,6.6331096,2.6014864,35.25,131.3125,11.1875,29.0,-60.0,22.0
 1297147252692,-4.5900574,19.803986,13.375181,32.9375,128.5,8.875,338.0,-54.0,-11.0
 1297147252776,2.9147544,10.18802,5.6252036,31.6875,128.5,8.125,1.0,-32.0,54.0
 1297147252794,8.349273,5.47538,2.4108016,31.4375,129.0,7.875,22.0,-143.0,53.0
 1297147252842,4.399372,7.5456724,-2.5333846,31.1875,129.5,7.125,82.0,-124.0,29.0
 1297147252892,4.5628166,8.117727,-3.0237172,34.4375,126.9375,6.625,109.0,-124.0,28.0
 1297147252942,1.7297841,10.119919,-0.38136974,34.9375,124.9375,6.375,171.0,-100.0,10.0
 1297147252993,1.2258313,9.112013,1.7570249,34.6875,123.125,5.5625,271.0,-77.0,8.0
 1297147253070,4.0180025,7.3141265,-1.7297841,36.0,120.125,5.5625,127.0,-120.0,28.0
 1297147253092,2.2609777,8.894087,0.38136974,35.75,118.8125,6.375,180.0,-76.0,14.0
 1297147253142,2.3699405,8.962189,-0.23154591,36.25,118.3125,5.8125,221.0,-105.0,15.0
 1297147253192,3.2961242,8.390134,-0.7627395,36.25,117.3125,5.5625,154.0,-112.0,21.0
 1297147253241,2.9147544,9.956474,0.42223078,36.5,115.25,4.8125,201.0,-73.0,16.0
 1297147253292,1.4982382,11.073342,1.5390993,37.5,113.25,4.8125,270.0,-79.0,8.0
 1297147253350,-0.040861044,12.176591,-0.14982383,38.0,112.1875,5.5625,265.0,-91.0,0.0
 1297147253393,0.42223078,13.184497,2.8738933,37.0,113.25,4.5625,290.0,-78.0,2.0
 1297147253442,3.990762,10.228881,3.3778462,36.25,116.0,3.8125,334.0,-63.0,20.0
 1297147253492,7.5456724,11.304889,0.38136974,37.25,119.3125,4.0625,26.0,-56.0,34.0
 1297147253543,7.014479,9.425281,-1.2258313,39.25,124.9375,6.0625,64.0,-127.0,36.0
 1297147253592,-0.8036005,10.378705,1.9885708,42.5,127.75,8.375,255.0,-78.0,4.0
 1297147253642,0.6946377,9.765789,1.879608,42.75,129.5,9.375,272.0,-78.0,11.0
 1297147253692,3.486809,3.759216,-0.42223078,41.0,132.8125,9.375,116.0,-133.0,43.0
 1297147253742,4.5628166,3.1054392,0.08172209,39.5,134.625,9.375,60.0,-34.0,56.0
 1297147253792,3.0237172,3.8681788,0.6537767,38.5,135.125,9.375,49.0,-51.0,38.0
 1297147253842,3.759216,5.434519,4.140586,37.0,132.5625,8.125,12.0,-44.0,29.0
 1297147253919,-5.175732,19.885708,13.715691,35.5,129.5,6.0625,336.0,-54.0,-12.0
 1297147253941,5.134871,8.308413,5.706926,34.4375,129.25,6.0625,346.0,-47.0,27.0
 1297147253991,8.008764,10.61025,-4.3312707,33.6875,131.5625,6.375,64.0,-131.0,35.0
 1297147254042,5.434519,2.982856,-1.6889231,36.0,130.8125,6.375,58.0,-152.0,58.0
 1297147254092,5.053149,10.147159,-3.9771416,38.0,127.75,7.125,102.0,-122.0,25.0
 1297147254142,0.8036005,10.760075,1.7570249,38.5,125.6875,5.5625,218.0,-80.0,4.0
 1297147254191,1.3075534,9.234595,0.5720546,39.0,123.125,5.0625,263.0,-81.0,8.0
 1297147254242,3.0645783,7.504812,-1.1168685,40.0,120.625,5.0625,144.0,-113.0,22.0
 1297147254292,2.6423476,8.580819,-0.27240697,40.25,119.0625,5.5625,163.0,-107.0,17.0
 1297147254344,2.3018389,9.343558,-0.14982383,39.25,116.5625,6.375,236.0,-104.0,14.0
 1297147254392,2.982856,8.921328,-0.5720546,39.5,115.25,6.625,187.0,-109.0,18.0
 1297147254442,3.9499009,9.466142,1.0351465,40.5,114.25,6.625,93.0,-67.0,23.0
 1297147254492,3.5276701,10.528529,1.9885708,41.25,112.1875,7.375,342.0,-77.0,8.0
 1297147254542,1.1441092,13.633968,2.0294318,42.25,111.6875,6.875,279.0,-80.0,5.0
 1297147254593,0.84446156,12.217452,2.6832085,41.25,112.6875,7.125,289.0,-77.0,4.0
 1297147254642,4.372132,11.073342,1.1441092,42.25,116.5625,6.625,331.0,-68.0,21.0
 1297147254692,11.536434,13.443283,-0.42223078,43.5,120.625,8.125,41.0,-131.0,41.0
 1297147254761,4.440233,8.158588,-1.2666923,46.3125,125.1875,11.6875,91.0,-120.0,28.0
 1297147254794,-0.38136974,9.765789,2.1111538,48.8125,125.9375,13.9375,326.0,-78.0,-2.0
 1297147254842,0.7218784,8.921328,0.8036005,48.8125,129.25,13.9375,272.0,-83.0,5.0
 1297147254892,3.718355,4.5219555,-1.1849703,46.8125,131.8125,13.6875,158.0,-131.0,38.0
 1297147254942,4.372132,2.4516625,0.46309182,42.75,135.375,15.0,49.0,-29.0,60.0
 1297147254992,2.7921712,3.9499009,0.95342433,42.5,134.625,15.0,44.0,-53.0,34.0
