Timestamp,X-accel,Y-accel,Z-accel,X-mag,Y-mag,Z-mag,X-orien,Y-orien,Z-orien
1297147381575,-3.8273177,12.830367,4.7535014,-7.3125,125.9375,33.25,359.0,-65.0,-16.0
 1297147381624,3.3778462,8.812365,2.0294318,25.4375,95.6875,42.375,65.0,-66.0,20.0
 1297147381673,0.040861044,6.5513873,1.9477097,1.0,122.375,43.375,135.0,-73.0,0.0
 1297147381723,-2.4925237,4.2086873,0.19068487,-2.75,128.25,43.375,228.0,-59.0,-31.0
 1297147381774,-4.671779,5.134871,-0.14982383,-1.5,129.75,39.875,281.0,-132.0,-42.0
 1297147381824,-0.38136974,5.6660647,2.8738933,-1.5,129.75,37.3125,311.0,-63.0,-3.0
 1297147381875,5.09401,15.554437,8.730643,-3.0,128.5,36.8125,14.0,-57.0,16.0
 1297147381924,-1.1441092,11.985906,4.2904096,-3.5,126.6875,35.5625,3.0,-70.0,-5.0
 1297147381974,-6.6331096,11.223166,-0.19068487,-2.25,126.9375,35.0,292.0,-121.0,-31.0
 1297147382026,-7.6273947,12.871228,1.4982382,-1.75,126.9375,36.0625,278.0,-62.0,-27.0
 1297147382074,-4.5628166,7.3958488,-0.6946377,-2.75,124.9375,37.8125,269.0,-122.0,-32.0
 1297147382123,-2.070293,10.732834,-1.4573772,-3.0,123.375,39.875,234.0,-103.0,-11.0
 1297147382174,2.9147544,8.580819,1.7570249,-3.5,119.8125,38.0625,134.0,-68.0,18.0
 1297147382224,-1.4982382,7.3958488,-0.42223078,-3.75,118.8125,36.8125,175.0,-102.0,-11.0
 1297147382301,-4.0180025,8.812365,0.46309182,-2.75,117.5625,36.3125,245.0,-65.0,-24.0
 1297147382325,-0.8036005,9.234595,0.6946377,-2.5,117.0625,36.0625,224.0,-83.0,-5.0
 1297147382374,0.3405087,9.00305,-1.1168685,-3.0,116.25,35.8125,182.0,-97.0,2.0
 1297147382424,-1.879608,10.038197,1.3075534,-2.25,114.0,36.3125,213.0,-77.0,-11.0
 1297147382476,0.84446156,12.026767,1.607201,-2.25,113.25,36.0625,183.0,-81.0,4.0
 1297147382525,1.8387469,13.184497,1.5390993,-1.75,113.5,35.8125,145.0,-80.0,8.0
 1297147382604,1.2258313,12.108489,3.5957718,-1.0,113.5,36.3125,123.0,-73.0,6.0
 1297147382623,-0.5720546,11.917805,4.944186,-0.75,115.0,36.3125,346.0,-66.0,-17.0
 1297147382673,-9.697687,12.217452,-5.8976107,-0.5,117.5625,37.0625,273.0,-133.0,-36.0
 1297147382724,-4.0588636,9.084772,3.1463003,-0.5,118.8125,40.625,279.0,-61.0,-23.0
 1297147382774,3.0645783,8.689782,0.7627395,0.25,120.375,44.4375,167.0,-70.0,19.0
 1297147382824,-0.61291564,5.706926,0.88532263,-0.25,121.875,45.1875,176.0,-79.0,-6.0
 1297147382873,-3.718355,3.2961242,-0.38136974,0.5,123.125,44.1875,253.0,-139.0,-48.0
 1297147382924,-3.1463003,3.8681788,-0.08172209,0.5,124.6875,41.375,286.0,-129.0,-39.0
 1297147382973,-1.2666923,4.4810944,0.61291564,-0.0,123.9375,40.625,263.0,-73.0,-16.0
 1297147383023,9.697687,19.763124,11.032481,-0.5,121.125,37.5625,18.0,-53.0,23.0
 1297147383075,-1.0760075,13.633968,8.158588,-0.5,120.625,36.3125,11.0,-59.0,-4.0
 1297147383163,-5.6660647,9.384419,-1.4573772,0.25,121.625,36.3125,281.0,-122.0,-31.0
 1297147383174,-3.636633,7.3958488,-2.9556155,-0.0,120.875,36.8125,262.0,-122.0,-25.0
 1297147383223,-3.405087,8.62168,0.040861044,-0.25,119.5625,39.0625,256.0,-68.0,-22.0
 1297147383274,0.84446156,11.304889,-1.8387469,-1.0,117.3125,39.3125,200.0,-100.0,4.0
 1297147383324,0.23154591,7.5865335,0.95342433,-0.75,115.0,36.8125,151.0,-83.0,2.0
 1297147383374,-3.336985,7.9270425,-0.3405087,-1.25,115.0,36.8125,220.0,-113.0,-23.0
 1297147383440,-3.718355,7.668256,0.5720546,-0.75,114.0,35.25,260.0,-64.0,-26.0
 1297147383475,-1.1441092,8.962189,-1.2666923,-1.0,114.0,34.5,220.0,-101.0,-7.0
 1297147383523,-1.2258313,9.724928,-0.27240697,-0.5,111.9375,34.75,211.0,-97.0,-7.0
 1297147383573,-0.040861044,11.727119,2.982856,-0.5,110.1875,36.0625,194.0,-76.0,0.0
 1297147383625,2.4925237,12.680544,1.1849703,-0.75,109.4375,35.8125,149.0,-78.0,11.0
 1297147383675,1.7570249,12.598822,3.2961242,-1.5,109.125,34.0,113.0,-73.0,8.0
 1297147383734,-0.42223078,12.299174,4.2904096,-1.5,109.9375,34.0,349.0,-65.0,-15.0
 1297147383774,-10.460427,14.9006605,-4.7126403,-2.25,114.25,34.5,275.0,-128.0,-34.0
 1297147383823,-6.510526,8.499097,-1.4982382,-3.0,115.75,37.0625,274.0,-128.0,-37.0
 1297147383874,2.152015,8.894087,1.4165162,-2.5,117.5625,42.375,43.0,-74.0,13.0
 1297147383924,0.6946377,7.9270425,1.9885708,-2.0,119.3125,44.4375,105.0,-75.0,5.0
 1297147384013,-4.903325,3.5957718,-0.29964766,-3.25,123.375,40.875,272.0,-144.0,-54.0
 1297147384024,-5.09401,3.5957718,-0.53119355,-3.25,123.9375,40.625,286.0,-145.0,-55.0
 1297147384076,-1.7570249,3.9499009,0.46309182,-4.0,123.6875,39.0625,272.0,-65.0,-24.0
 1297147384124,2.152015,13.443283,9.043911,-4.0,122.125,36.8125,343.0,-55.0,8.0
 1297147384174,9.425281,19.15021,10.760075,-4.5,120.625,35.5625,30.0,-53.0,23.0
 1297147384225,-9.343558,8.349273,-0.8036005,-5.0625,121.375,34.0,317.0,-138.0,-48.0
 1297147384322,-3.718355,6.782933,-4.399372,-4.75,121.125,36.5625,262.0,-135.0,-35.0
 1297147384323,-3.718355,6.782933,-4.399372,-4.75,120.125,37.5625,262.0,-124.0,-32.0
 1297147384374,-1.9885708,10.419566,-0.88532263,-5.5625,117.3125,38.5625,231.0,-102.0,-11.0
 1297147384424,2.3699405,10.95076,-0.19068487,-5.8125,114.5,38.0625,167.0,-102.0,12.0
 1297147384474,-1.3756552,7.43671,-0.6537767,-7.0625,112.4375,38.3125,172.0,-102.0,-10.0
 1297147384524,-2.1383946,8.812365,-0.14982383,-7.3125,112.4375,37.3125,207.0,-104.0,-14.0
 1297147384609,-1.334794,8.499097,0.14982383,-6.5625,111.1875,36.3125,210.0,-81.0,-9.0
